_id,date,gender,race,agebook,agecurr
629,2018-01-01,M,B,19,21
630,2018-01-01,M,B,28,29
631,2018-01-01,M,B,40,41
632,2018-01-01,M,B,28,29
633,2018-01-01,M,B,19,20
634,2018-01-01,M,W,32,33
635,2018-01-01,M,B,54,55
636,2018-01-01,M,B,50,50
637,2018-01-01,M,W,26,27
638,2018-01-01,M,B,19,19
639,2018-01-01,M,B,41,42
640,2018-01-01,M,B,36,36
641,2018-01-01,M,B,21,22
642,2018-01-01,M,W,33,34
643,2018-01-01,M,B,27,28
644,2018-01-01,M,B,56,57
645,2018-01-01,M,W,31,32
646,2018-01-01,M,B,36,37
647,2018-01-01,M,B,56,57
648,2018-01-01,M,W,35,35
649,2018-01-01,M,B,57,57
650,2018-01-01,M,B,31,31
651,2018-01-01,M,B,33,33
652,2018-01-01,M,B,20,20
653,2018-01-01,M,B,46,46
654,2018-01-01,M,B,28,28
655,2018-01-01,M,A,31,31
656,2018-01-01,M,W,38,38
657,2018-01-01,M,W,50,51
658,2018-01-01,M,B,38,39
659,2018-01-01,M,B,19,19
660,2018-01-01,M,B,20,21
661,2018-01-01,M,B,24,25
662,2018-01-01,M,W,48,48
663,2018-01-01,M,B,20,20
664,2018-01-01,M,B,34,34
665,2018-01-01,M,B,22,23
666,2018-01-01,M,W,25,26
667,2018-01-01,M,B,30,30
668,2018-01-01,M,B,51,52
669,2018-01-01,M,W,32,33
670,2018-01-01,M,W,36,37
671,2018-01-01,M,B,40,41
672,2018-01-01,M,W,52,52
673,2018-01-01,M,W,58,58
674,2018-01-01,M,W,36,36
675,2018-01-01,M,W,29,29
676,2018-01-01,M,B,30,30
677,2018-01-01,M,B,25,26
678,2018-01-01,M,W,29,30
679,2018-01-01,M,B,64,64
680,2018-01-01,M,W,35,35
681,2018-01-01,M,B,34,34
682,2018-01-01,M,B,31,32
683,2018-01-01,M,B,53,53
684,2018-01-01,M,B,40,41
685,2018-01-01,M,B,31,31
686,2018-01-01,M,W,30,30
687,2018-01-01,M,B,31,31
688,2018-01-01,M,W,59,59
689,2018-01-01,M,B,44,44
690,2018-01-01,M,B,24,24
691,2018-01-01,M,B,44,44
692,2018-01-01,M,W,28,28
693,2018-01-01,M,B,52,53
694,2018-01-01,M,B,32,32
695,2018-01-01,M,B,31,32
696,2018-01-01,M,W,38,38
697,2018-01-01,M,B,28,28
698,2018-01-01,M,B,27,27
699,2018-01-01,M,B,24,24
700,2018-01-01,M,B,21,22
701,2018-01-01,M,W,24,24
702,2018-01-01,M,B,19,19
703,2018-01-01,M,W,27,27
704,2018-01-01,M,B,20,20
705,2018-01-01,M,x,33,33
706,2018-01-01,M,B,41,41
707,2018-01-01,M,W,27,27
708,2018-01-01,M,B,57,57
709,2018-01-01,M,W,25,25
710,2018-01-01,M,B,40,40
711,2018-01-01,M,W,22,22
712,2018-01-01,M,B,27,27
713,2018-01-01,M,B,29,29
714,2018-01-01,M,B,39,39
715,2018-01-01,M,B,27,27
716,2018-01-01,M,B,31,31
717,2018-01-01,M,B,25,25
718,2018-01-01,M,B,23,23
719,2018-01-01,M,B,20,20
720,2018-01-01,M,W,64,64
721,2018-01-01,M,H,35,35
722,2018-01-01,M,B,20,20
723,2018-01-01,M,B,22,24
724,2018-01-01,M,B,18,20
725,2018-01-01,M,B,20,22
726,2018-01-01,M,B,36,38
727,2018-01-01,M,B,32,34
728,2018-01-01,M,W,38,39
729,2018-01-01,M,B,44,45
730,2018-01-01,M,B,29,30
731,2018-01-01,M,B,57,58
732,2018-01-01,M,W,29,30
733,2018-01-01,M,B,30,31
734,2018-01-01,M,B,31,32
735,2018-01-01,M,B,28,29
736,2018-01-01,M,B,37,38
737,2018-01-01,M,B,19,20
738,2018-01-01,M,B,32,33
739,2018-01-01,M,W,33,34
740,2018-01-01,M,B,32,33
741,2018-01-01,M,B,21,22
742,2018-01-01,M,B,46,46
743,2018-01-01,M,B,32,32
744,2018-01-01,M,B,17,18
745,2018-01-01,M,B,36,37
746,2018-01-01,M,B,37,38
747,2018-01-01,M,B,36,37
748,2018-01-01,M,W,32,32
749,2018-01-01,M,B,52,53
750,2018-01-01,M,B,33,34
751,2018-01-01,M,B,34,35
752,2018-01-01,M,W,28,28
753,2018-01-01,M,B,25,26
754,2018-01-01,M,B,24,24
755,2018-01-01,M,B,38,38
756,2018-01-01,M,W,29,29
757,2018-01-01,M,B,34,35
758,2018-01-01,M,B,27,27
759,2018-01-01,M,B,35,36
760,2018-01-01,M,B,25,26
761,2018-01-01,M,B,19,20
762,2018-01-01,M,W,27,28
763,2018-01-01,M,B,18,19
764,2018-01-01,M,B,49,49
765,2018-01-01,M,B,23,23
766,2018-01-01,M,B,35,35
767,2018-01-01,M,B,61,61
768,2018-01-01,M,W,62,62
769,2018-01-01,M,B,30,30
770,2018-01-01,M,B,29,29
771,2018-01-01,M,B,30,30
772,2018-01-01,M,B,49,49
773,2018-01-01,M,B,26,26
774,2018-01-01,M,B,23,23
775,2018-01-01,M,B,36,36
776,2018-01-01,M,B,39,39
777,2018-01-01,M,B,36,37
778,2018-01-01,M,B,19,19
779,2018-01-01,M,B,55,55
780,2018-01-01,M,B,31,31
781,2018-01-01,M,B,38,38
782,2018-01-01,M,B,33,33
783,2018-01-01,M,B,25,25
784,2018-01-01,M,B,35,35
785,2018-01-01,M,B,32,32
786,2018-01-01,M,B,23,23
787,2018-01-01,M,B,35,36
788,2018-01-01,M,B,23,23
789,2018-01-01,M,W,37,37
790,2018-01-01,M,B,46,46
791,2018-01-01,M,B,26,26
792,2018-01-01,M,W,35,35
793,2018-01-01,M,B,37,37
794,2018-01-01,M,A,25,25
795,2018-01-01,M,H,26,26
796,2018-01-01,M,B,53,53
797,2018-01-01,M,B,31,31
798,2018-01-01,M,W,32,32
799,2018-01-01,M,W,36,36
800,2018-01-01,M,B,29,29
801,2018-01-01,M,W,31,31
802,2018-01-01,M,B,28,28
803,2018-01-01,M,B,44,44
804,2018-01-01,M,B,35,36
805,2018-01-01,M,W,32,32
806,2018-01-01,M,B,30,30
807,2018-01-01,M,B,52,52
808,2018-01-01,M,B,34,34
809,2018-01-01,M,B,24,24
810,2018-01-01,M,B,28,28
811,2018-01-01,M,B,45,45
812,2018-01-01,M,W,22,22
813,2018-01-01,M,B,55,55
814,2018-01-01,M,B,21,21
815,2018-01-01,M,W,42,42
816,2018-01-01,M,W,24,24
